filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.jpg,1,0,0.5007485151290894,0,1,1,1,1,1,1
03002.jpg,1,0,0.5007559657096863,0,1,1,1,1,0,1
03003.jpg,1,0,0.5007233619689941,0,1,1,1,1,0,1
03004.jpg,1,0,0.5007910132408142,0,1,1,0,1,0,1
03005.jpg,1,0,0.5007537007331848,0,1,0,1,1,0,1
03006.jpg,1,0,0.5008178353309631,0,1,1,1,1,1,1
03007.jpg,1,0,0.500805139541626,0,1,0,0,0,0,0
03008.jpg,1,0,0.500784695148468,1,0,0,0,0,0,0
03009.jpg,1,0,0.500800609588623,0,0,0,0,0,0,1
03010.jpg,1,0,0.5007545351982117,1,0,0,0,0,0,0
03011.jpg,1,0,0.500779926776886,0,1,1,0,1,1,1
03012.jpg,1,0,0.5008277893066406,0,1,0,0,1,0,1
03013.jpg,1,0,0.5008000731468201,0,1,1,1,1,1,1
03014.jpg,1,0,0.5008037090301514,0,1,1,0,1,0,1
03015.jpg,1,0,0.5008214712142944,0,1,1,1,1,1,1
03016.jpg,1,0,0.5008056163787842,0,1,1,1,1,0,1
03017.jpg,1,0,0.5007417798042297,0,1,0,1,0,0,1
03018.jpg,1,0,0.5007811784744263,0,1,1,1,0,1,1
03019.jpg,1,0,0.5008096098899841,0,0,1,0,0,0,1
03020.jpg,1,0,0.5007829666137695,0,1,1,1,1,1,1
03021.jpg,1,0,0.5008145570755005,0,1,1,1,1,0,1
03022.jpg,1,0,0.500826895236969,0,1,1,1,1,1,1
03023.jpg,1,0,0.5007432699203491,0,1,1,1,1,1,1
03024.jpg,1,0,0.500802218914032,0,1,1,0,0,1,1
03025.jpg,1,0,0.50076824426651,0,0,0,0,0,0,0
03026.jpg,1,0,0.5007856488227844,0,1,0,0,0,0,1
03027.jpg,1,0,0.5007994771003723,1,0,0,0,0,0,0
03028.jpg,1,0,0.500789225101471,0,1,1,1,1,1,1
03029.jpg,1,0,0.5007756352424622,0,0,0,0,0,0,0
03030.jpg,1,0,0.5007655024528503,0,0,0,0,0,0,0
03031.jpg,1,0,0.5007866621017456,0,1,0,1,0,0,1
03032.jpg,1,0,0.5007389187812805,0,1,1,1,1,1,1
03033.jpg,1,0,0.5007433891296387,0,1,0,0,0,0,0
03034.jpg,1,0,0.5007399320602417,0,1,1,1,1,1,1
03035.jpg,1,0,0.5007644891738892,0,1,0,1,0,0,1
03036.jpg,1,0,0.5008054971694946,0,1,1,1,1,1,1
03037.jpg,1,0,0.5007160902023315,0,1,1,1,1,0,1
03038.jpg,1,0,0.5007779002189636,0,1,1,1,1,0,1
03039.jpg,1,0,0.5007965564727783,0,1,1,1,1,1,1
03040.jpg,1,0,0.5008041262626648,0,1,1,0,1,0,1
03041.jpg,1,0,0.5007823705673218,0,1,1,0,1,1,1
03042.jpg,1,0,0.5007924437522888,1,0,0,0,0,0,0
03043.jpg,1,0,0.5007789731025696,0,1,0,0,0,0,0
03044.jpg,1,0,0.5007956624031067,0,1,0,1,1,1,1
03045.jpg,1,0,0.500773012638092,1,0,0,0,0,0,0
03046.jpg,1,0,0.5007782578468323,0,1,1,1,1,1,1
03047.jpg,1,0,0.5007970333099365,0,1,0,0,0,0,1
03048.jpg,1,0,0.5008003115653992,0,1,0,0,1,0,1
03049.jpg,1,0,0.500789225101471,0,1,0,1,1,0,1
03050.jpg,1,0,0.5008174180984497,0,1,1,0,1,1,1
03051.jpg,1,0,0.5007811784744263,0,1,0,0,0,0,1
03052.jpg,1,0,0.5007879734039307,1,0,0,0,0,0,0
03053.jpg,1,0,0.5007893443107605,0,1,0,1,0,0,1
03054.jpg,1,0,0.5007792711257935,0,1,1,1,0,0,1
03055.jpg,1,0,0.5007892847061157,0,1,1,1,1,0,1
03056.jpg,1,0,0.5007757544517517,0,1,0,1,0,0,1
03057.jpg,1,0,0.5008254647254944,0,1,0,1,0,1,1
03058.jpg,1,0,0.5007729530334473,0,1,1,0,1,0,1
03059.jpg,1,0,0.5007786154747009,0,0,0,0,0,0,1
03060.jpg,1,0,0.5008043050765991,0,1,1,1,1,0,1
03061.jpg,1,0,0.5007504224777222,0,1,1,1,0,0,1
03062.jpg,1,0,0.5007608532905579,0,1,1,1,1,1,1
03063.jpg,1,0,0.5007866024971008,0,1,1,0,1,0,1
03064.jpg,1,0,0.5007827877998352,0,1,1,1,1,1,1
03065.jpg,1,0,0.5007807612419128,0,0,0,0,0,0,0
03066.jpg,1,0,0.5007824301719666,0,1,1,0,1,1,1
03067.jpg,1,0,0.5007510185241699,0,1,1,1,1,1,1
03068.jpg,1,0,0.5007630586624146,0,0,0,0,0,0,0
03069.jpg,1,0,0.5007242560386658,0,1,1,1,1,0,1
03070.jpg,1,0,0.5007532835006714,0,1,1,1,1,1,1
03071.jpg,1,0,0.5007428526878357,1,0,0,0,0,0,0
03072.jpg,1,0,0.5007309913635254,0,1,1,1,1,1,1
03073.jpg,1,0,0.5007796883583069,0,0,0,0,0,0,0
03074.jpg,1,0,0.500792384147644,0,0,0,0,0,0,0
03075.jpg,1,0,0.5008060336112976,0,1,1,1,0,0,1
03076.jpg,1,0,0.5008050203323364,0,1,1,0,1,1,1
03077.jpg,1,0,0.5007824897766113,0,1,0,1,1,1,1
03078.jpg,1,0,0.5007871985435486,1,0,0,0,0,0,0
03079.jpg,1,0,0.500779390335083,0,1,0,1,0,0,0
03080.jpg,1,0,0.5007290840148926,0,1,0,0,0,1,0
03081.jpg,1,0,0.5007322430610657,0,1,1,1,1,1,1
03082.jpg,1,0,0.5007832050323486,0,1,1,1,1,1,1
03083.jpg,1,0,0.5007067322731018,0,1,1,1,1,0,1
03084.jpg,1,0,0.5007686614990234,0,1,1,0,1,1,1
03085.jpg,1,0,0.5008026361465454,0,1,1,1,1,0,1
03086.jpg,1,0,0.5007203221321106,0,1,0,1,1,0,1
03087.jpg,1,0,0.5007640719413757,0,0,0,0,1,0,0
03088.jpg,1,0,0.5007597208023071,0,1,1,1,1,0,1
03089.jpg,1,0,0.5007177591323853,0,1,1,1,1,0,1
03090.jpg,1,0,0.5007296204566956,0,1,1,1,1,1,1
03091.jpg,1,0,0.5007547736167908,1,0,0,0,0,0,0
03092.jpg,1,0,0.5008304715156555,0,1,0,1,0,0,0
03093.jpg,1,0,0.5007585287094116,0,1,1,1,0,1,1
03094.jpg,1,0,0.5007598996162415,0,1,1,1,1,0,1
03095.jpg,1,0,0.5007483959197998,0,0,0,0,0,0,0
03096.jpg,1,0,0.5007666349411011,0,1,1,1,1,1,1
03097.jpg,1,0,0.50079345703125,0,1,1,1,1,0,1
03098.jpg,1,0,0.5008330345153809,0,1,1,1,1,1,1
03099.jpg,1,0,0.5007606148719788,0,1,1,1,1,1,1
03100.jpg,1,0,0.5008179545402527,0,1,1,0,0,0,1
03101.jpg,1,0,0.5008022785186768,0,1,1,1,1,1,1
03102.jpg,1,0,0.5008285641670227,0,1,1,1,1,1,1
03103.jpg,1,0,0.5007535219192505,0,1,1,1,0,0,1
03104.jpg,1,0,0.5007654428482056,0,1,1,1,1,1,1
03105.jpg,1,0,0.5008374452590942,0,0,0,0,0,0,0
03106.jpg,1,0,0.5007296800613403,0,0,0,0,0,0,0
03107.jpg,1,0,0.5007861852645874,0,1,1,1,1,0,1
03108.jpg,1,0,0.5007527470588684,1,0,0,0,0,0,0
03109.jpg,1,0,0.50080406665802,0,1,1,1,1,0,1
03110.jpg,1,0,0.5007715225219727,0,1,1,1,1,0,1
03111.jpg,1,0,0.5007936954498291,0,1,1,1,1,0,1
03112.jpg,1,0,0.5008057951927185,0,1,0,0,1,0,0
03113.jpg,1,0,0.500739574432373,1,0,0,0,0,0,0
03114.jpg,1,0,0.5008007287979126,0,1,1,0,1,0,1
03115.jpg,1,0,0.500791072845459,0,1,1,1,1,1,1
03116.jpg,1,0,0.5007963180541992,0,0,0,0,0,0,0
03117.jpg,1,0,0.5007979869842529,0,1,1,1,1,0,1
03118.jpg,1,0,0.5007969737052917,0,1,0,0,0,0,0
03119.jpg,1,0,0.5007761120796204,0,0,0,0,0,0,0
03120.jpg,1,0,0.500761091709137,0,1,1,1,0,0,1
03121.jpg,1,0,0.5007754564285278,0,1,1,1,1,1,1
03122.jpg,1,0,0.5007532238960266,0,1,0,0,1,1,1
03123.jpg,1,0,0.5008452534675598,0,1,0,1,0,0,1
03124.jpg,1,0,0.5007721781730652,0,1,1,1,1,0,1
03125.jpg,1,0,0.5008357167243958,0,1,1,1,1,1,1
03126.jpg,1,0,0.5007905960083008,0,1,1,0,1,0,1
03127.jpg,1,0,0.5008191466331482,0,1,1,1,1,0,1
03128.jpg,1,0,0.5008147954940796,0,1,0,0,0,0,1
03129.jpg,1,0,0.5007421374320984,0,1,1,1,1,1,1
03130.jpg,1,0,0.5007760524749756,0,1,1,1,0,1,1
03131.jpg,1,0,0.5007601380348206,0,1,1,1,1,1,1
03132.jpg,1,0,0.5008209943771362,0,0,0,0,0,0,0
03133.jpg,1,0,0.5007296204566956,0,1,1,1,1,0,1
03134.jpg,1,0,0.5007432103157043,0,1,1,1,1,1,1
03135.jpg,1,0,0.5008038282394409,0,1,1,1,1,0,1
03136.jpg,1,0,0.5007864832878113,0,0,0,0,0,0,1
03137.jpg,1,0,0.500770092010498,0,1,0,1,0,0,1
03138.jpg,1,0,0.5007845759391785,0,1,1,1,1,1,1
03139.jpg,1,0,0.500769317150116,0,1,1,1,1,0,1
03140.jpg,1,0,0.5007807016372681,0,1,0,1,1,0,1
03141.jpg,1,0,0.500766932964325,1,0,0,0,0,0,0
