filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.5020619034767151,0,1,0,1,1,1,1
03002.png,0,0,0.502121239900589,0,1,0,1,1,1,1
03003.png,0,0,0.5021235942840576,0,1,0,0,1,1,1
03004.png,0,0,0.502120703458786,0,1,0,0,0,0,0
03005.png,0,0,0.5020967125892639,0,1,0,0,1,0,1
03006.png,0,0,0.5021190345287323,0,1,0,0,1,0,1
03007.png,0,0,0.5021266639232635,0,0,0,0,1,0,1
03008.png,0,0,0.502122163772583,0,1,0,1,1,0,1
03009.png,0,0,0.5021181106567383,0,1,0,0,1,1,1
03010.png,0,0,0.5020957589149475,0,1,0,1,1,1,1
03011.png,0,0,0.5021413266658783,0,1,1,0,1,0,1
03012.png,0,0,0.5021467506885529,0,1,0,0,1,1,1
03013.png,0,0,0.5020416676998138,1,0,0,0,0,0,0
03014.png,0,0,0.5021175146102905,0,1,0,1,1,0,1
03015.png,0,0,0.5021570920944214,0,1,0,1,1,0,1
03016.png,0,0,0.5021382570266724,0,1,1,1,1,0,1
03017.png,0,0,0.5021320581436157,0,1,0,0,1,0,1
03018.png,0,0,0.5021051466464996,0,1,0,1,1,0,1
03019.png,0,0,0.50203937292099,0,1,0,0,1,0,0
03020.png,0,0,0.5021244883537292,0,1,0,1,1,0,1
03021.png,0,0,0.5020919144153595,0,1,0,0,1,0,0
03022.png,0,0,0.5021198093891144,0,1,1,0,1,0,1
03023.png,0,0,0.5021271407604218,0,1,0,1,1,1,1
03024.png,0,0,0.5021051466464996,0,1,0,0,1,1,1
03025.png,0,0,0.5021161437034607,0,1,0,1,1,0,1
03026.png,0,0,0.5020877718925476,0,1,0,1,1,1,0
03027.png,0,0,0.5021360516548157,0,1,0,1,1,1,0
03028.png,0,0,0.502095103263855,0,1,1,0,0,0,1
03029.png,0,0,0.5021215975284576,0,1,0,1,1,0,1
03030.png,0,0,0.5020489990711212,0,1,1,0,1,0,1
03031.png,0,0,0.5020839869976044,0,1,0,0,0,1,1
03032.png,0,0,0.5021455883979797,0,1,0,0,1,0,1
03033.png,0,0,0.5021306872367859,1,0,0,0,0,0,0
03034.png,0,0,0.5020472407341003,0,1,0,0,0,1,1
03035.png,0,0,0.502128928899765,1,0,0,0,0,0,0
03036.png,0,0,0.5021088719367981,1,0,0,0,0,0,0
03037.png,0,0,0.5020946264266968,0,1,0,0,1,1,1
03038.png,0,0,0.5020628273487091,0,1,1,1,0,1,1
03039.png,0,0,0.5021369457244873,0,1,1,0,1,0,1
03040.png,0,0,0.5020962953567505,0,1,0,1,1,1,1
03041.png,0,0,0.5021304488182068,0,1,0,0,0,0,1
03042.png,0,0,0.5021139681339264,0,1,1,1,1,1,1
03043.png,0,0,0.5020957589149475,0,1,0,1,1,0,1
03044.png,0,0,0.502114325761795,0,1,1,0,1,1,1
03045.png,0,0,0.502071887254715,1,0,0,0,0,0,0
03046.png,0,0,0.5020997226238251,0,1,0,1,1,1,1
03047.png,0,0,0.5021224617958069,0,1,0,1,1,0,1
03048.png,0,0,0.5021186172962189,0,1,0,0,1,0,1
03049.png,0,0,0.502092033624649,0,1,0,0,1,0,1
03050.png,0,0,0.5021400153636932,0,1,0,1,1,1,1
03051.png,0,0,0.5020701587200165,0,0,1,0,0,0,1
03052.png,0,0,0.5021077692508698,0,1,0,0,1,1,1
03053.png,0,0,0.5021331608295441,0,1,0,0,1,0,1
03054.png,0,0,0.5021160244941711,0,1,0,0,1,0,1
03055.png,0,0,0.5021583437919617,0,1,0,1,1,0,1
03056.png,0,0,0.5021072924137115,0,1,1,1,1,1,1
03057.png,0,0,0.5020625293254852,0,1,0,1,1,0,1
03058.png,0,0,0.502138078212738,0,1,0,0,1,0,1
03059.png,0,0,0.5020999610424042,0,1,1,1,1,1,1
03060.png,0,0,0.5020884871482849,0,1,0,1,1,1,1
03061.png,0,0,0.5021288096904755,0,1,0,1,1,0,1
03062.png,0,0,0.5021214187145233,0,1,0,0,1,0,1
03063.png,0,0,0.5020922124385834,0,1,0,1,1,1,1
03064.png,0,0,0.5021184682846069,0,1,0,0,1,1,1
03065.png,0,0,0.5021092891693115,0,1,0,1,1,0,1
03066.png,0,0,0.5021333992481232,0,1,0,0,1,1,1
03067.png,0,0,0.5021326243877411,0,1,0,0,0,0,0
03068.png,0,0,0.5021436810493469,0,1,0,0,1,0,0
03069.png,0,0,0.502064973115921,0,1,0,0,1,0,1
03070.png,0,0,0.50211301445961,0,1,1,1,1,0,1
03071.png,0,0,0.5021269023418427,0,1,0,0,1,1,1
03072.png,0,0,0.5020862519741058,0,1,0,1,1,0,1
03073.png,0,0,0.5021397769451141,0,1,0,1,0,0,1
03074.png,0,0,0.5021282732486725,0,1,1,0,1,0,1
03075.png,0,0,0.5021528601646423,0,1,0,1,0,1,0
03076.png,0,0,0.5020975470542908,0,1,0,1,1,1,1
03077.png,0,0,0.5021154284477234,0,1,0,0,0,0,1
03078.png,0,0,0.5021221041679382,0,1,0,1,1,1,1
03079.png,0,0,0.50211101770401,0,1,1,1,1,1,1
03080.png,0,0,0.502129316329956,0,1,0,1,1,0,1
03081.png,0,0,0.5020929872989655,0,1,0,1,1,1,1
03082.png,0,0,0.5020675659179688,0,1,0,1,1,1,1
03083.png,0,0,0.5021301507949829,0,1,0,0,0,1,1
03084.png,0,0,0.5020735859870911,0,1,0,0,0,0,1
03085.png,0,0,0.5021452307701111,0,1,0,1,1,0,1
03086.png,0,0,0.5021272599697113,1,0,0,0,0,0,0
03087.png,0,0,0.5020925104618073,0,1,0,0,0,0,1
03088.png,0,0,0.5021023154258728,0,1,0,1,1,0,1
03089.png,0,0,0.5021307468414307,0,1,0,1,1,0,1
03090.png,0,0,0.5021136701107025,0,1,0,1,1,0,1
03091.png,0,0,0.5021392107009888,0,1,0,1,1,1,1
03092.png,0,0,0.5021334588527679,0,1,1,1,1,1,1
03093.png,0,0,0.5021149814128876,0,1,0,1,1,0,1
03094.png,0,0,0.5021140277385712,0,1,0,1,1,0,1
03095.png,0,0,0.5021324753761292,0,1,1,0,1,0,1
03096.png,0,0,0.50212761759758,0,1,1,1,1,0,1
03097.png,0,0,0.5021241903305054,0,1,0,1,0,1,1
03098.png,0,0,0.5021063983440399,0,1,0,0,1,0,0
03099.png,0,0,0.502123236656189,0,1,1,1,1,1,1
